"URI","Label","Context_Subject","Context_Object","ContextWeight"
"http://dbpedia.org/ontology/institution","institution","http://dbpedia.org/ontology/Scientist","http://dbpedia.org/ontology/University",21568
"http://dbpedia.org/property/subdivisionName","subdivision name","http://dbpedia.org/ontology/Village","http://dbpedia.org/ontology/AdministrativeRegion",21562
"http://dbpedia.org/ontology/commander","commander","http://dbpedia.org/ontology/MilitaryConflict","http://dbpedia.org/ontology/MilitaryPerson",21527
"http://dbpedia.org/property/nationalteam","nationalteam","http://dbpedia.org/ontology/SoccerPlayer","http://dbpedia.org/ontology/SportsTeam",21347
"http://dbpedia.org/ontology/company","company","http://dbpedia.org/ontology/TelevisionShow","http://dbpedia.org/ontology/Company",21025
"http://dbpedia.org/property/candidate","candidate","http://dbpedia.org/ontology/Election","http://dbpedia.org/ontology/Politician",20803
"http://dbpedia.org/property/successor","successor","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/Politician",20524
"http://dbpedia.org/property/battles","battles","http://dbpedia.org/ontology/MilitaryPerson","http://dbpedia.org/ontology/MilitaryConflict",20415
"http://dbpedia.org/property/awards","awards","http://dbpedia.org/ontology/MilitaryPerson","http://dbpedia.org/ontology/Award",19931
"http://dbpedia.org/property/network","network","http://dbpedia.org/ontology/TelevisionShow","http://dbpedia.org/ontology/TelevisionStation",19820
"http://dbpedia.org/ontology/genre","genre","http://dbpedia.org/ontology/MusicalArtist","http://dbpedia.org/ontology/MusicGenre",19655
"http://dbpedia.org/ontology/award","award","http://dbpedia.org/ontology/MilitaryPerson","http://dbpedia.org/ontology/Award",19548
"http://dbpedia.org/ontology/race","race","http://dbpedia.org/ontology/Horse","http://dbpedia.org/ontology/HorseRace",19211
"http://dbpedia.org/property/nextTitle","next title","http://dbpedia.org/ontology/Song","http://dbpedia.org/ontology/Song",19058
"http://dbpedia.org/property/demographics1Info","demographics1 info","http://dbpedia.org/ontology/Village","http://dbpedia.org/ontology/Language",18777
"http://dbpedia.org/property/p","p","http://dbpedia.org/ontology/SoccerClubSeason","http://dbpedia.org/ontology/SoccerPlayer",18763
"http://dbpedia.org/property/studio","studio","http://dbpedia.org/ontology/Film","http://dbpedia.org/ontology/Company",18531
"http://dbpedia.org/property/battles","battles","http://dbpedia.org/ontology/MilitaryUnit","http://dbpedia.org/ontology/MilitaryConflict",18380
"http://dbpedia.org/ontology/politicalLeader","political leader","http://dbpedia.org/ontology/City","http://dbpedia.org/ontology/PoliticalFunction",18320
"http://dbpedia.org/ontology/manager","manager","http://dbpedia.org/ontology/SoccerClubSeason","http://dbpedia.org/ontology/SoccerManager",18255
"http://dbpedia.org/property/team","Team","http://dbpedia.org/ontology/BasketballPlayer","http://dbpedia.org/ontology/BasketballTeam",18176
"http://dbpedia.org/ontology/subdivision","subdivision","http://dbpedia.org/ontology/Village","http://dbpedia.org/ontology/AdministrativeRegion",18025
"http://dbpedia.org/property/prevTitle","prev title","http://dbpedia.org/ontology/Song","http://dbpedia.org/ontology/Single",18025
"http://dbpedia.org/ontology/engine","engine","http://dbpedia.org/ontology/Automobile","http://dbpedia.org/ontology/AutomobileEngine",17990
